Vehicule;Date;Reparation;Montant;Reglement;RAP;NPC
576;;monter le poignet + colle ;8000;8000;0;
576;;mo mecano;25000;25000;0;
576;2026-01-05;boulon centrale ;5000;5000;0;
576;;soudure dabagaou et couyer rever de jumelle;25000;25000;0;
576;;mo mecano;30000;30000;0;
576;;achat jumelle;90000;90000;0;
576;2026-01-08;achat huile + vidange +filtre gasoil+filtre huile 154288km;78000;78000;0;
576;;;;;0;
576;2026-02-04;2 batterie ;190000;190000;0;
576;;1 jante + 1 pneu;140000;140000;0;
576;;;;;0;
576;2026-02-23;Electricite;5000;5000;0;
576;;achat appareil de portiere;10000;10000;0;
576;;;;;0;
576;2026-04-20;disque d'embrayage +resort arriere;80000;80000;0;
576;;6 bouchons de roues 2500*6;15000;15000;0;
576;;graissage des croisons ;5000;5000;0;
576;;mo ;50000;50000;0;
576;;;;;0;
576;2026-04-23;electricité ;5000;5000;0;
576;;appareil portiere;10000;10000;0;
576;;;;;0;
576;2026-05-08;echange plaquette de frein;;;0;
576;;echange de garniture arriere;50000;50000;0;
576;;echange de 2 batterie;190000;190000;0;
576;2026-07-20;achat de graisse 1 boite ;8000;8000;0;
576;;mo graissage complet;10000;10000;0;
576;;;;;0;
576;;;;;0;
576;;;;;0;
576;;;;;0;
576;;;;;0;
586;2025-09-27;arret d'huile ;35000;35000;0;
586;;appareil portiere;35000;35000;0;
586;;mo;10000;10000;0;
586;;soudure;3000;3000;0;
586;2025-10-15;necessaire de fusie;60000;60000;0;
586;;garniture ;20000;20000;0;
586;;plaquettes;30000;30000;0;
586;;2 pattes de boite ;20000;20000;0;
586;;2 boittes de graisse ;14000;14000;0;
586;;Mo pour le car 586;25000;25000;0;
586;2025-10-20;changement batterie ;190000;190000;0;
586;;achat poche baterie ;4000;4000;0;
586;2025-11-30;achat de batterie ;190000;190000;0;
586;;achat de flexible ;98000;98000;0;
586;;pneu ;140000;;140000;
586;2025-12-12; coche de batterie;4000;4000;0;
586;;montage de batterie;5000;5000;0; 
586;;huile de climatisseur;15000;15000;0;
586;;lavage ;5000;5000;0;
586;;mo;20000;20000;0;
586;2026-01-13;paquet de rivet ;5000;5000;0;
586;;demi morceau;14000;14000;0;
586;;demi morceau60/40;15000;15000;0;
586;;traveaux polyster;125000;125000;0;
586;2026-01-14;2 pattes de moteur;50000;50000;0;
586;;5 pattes de radiateur vidange;15000;15000;0;
586;;mo mecano;15000;15000;0;
586;;;;;0;
586;2026-01-24;instalation feu arriere;9000;9000;0;
586;;feu de matriculation ;5000;5000;0;
586;;8 ampoule graiser ;4000;4000;0;
586;;changement de feu des coffres ;2000;2000;0;
586;;mo electricien;8000;8000;0;
586;;feu de clignontant;5000;5000;0;
586;;;;;0;
586;2026-02-04;1 jante + 2 pneus;280000;;280000;
586;;;;;0;
586;2026-03-26;graissage complet des roues av arr;;;0;
586;;echange d arret a huile et pont;;;0;
586;;echange de joint de cloteur ;10000;10000;0;
586;;complement huile de pont 12 litre ;18000;18000;0;
586;;echange de 2tuyaux appareil de coffre;10000;10000;0;
586;;mo ;30000;30000;0;
586;;;;;0;
586;2026-07-18;joint echappement;7000;7000;0;
586;;soudure ;2000;2000;0;
586;;caoutchou de bar stablisateur ;10000;10000;0;
586;;graissage des cardant;5000;5000;0;
586;;mo;20000;20000;0;
586;;jeu de rotule de bra;50000;50000;0;
586;;;;;0;
586;;;;;0;
586;;;;;0;
586;;;;;0;
586;;;;;0;
586;;;;;0;
702;2025-10-03;achat croix de climatisseur ;20000;20000;0;
702;2025-10-11;boulon central;5000;5000;0;
702;;mo;25000;25000;0;
702;;graisseur;10000;10000;0;
702;2025-06-27;depannage et entretien;55000;55000;0;
702;;achat bouchon de roue;;;0;
702;;essue glace;;;0;
702;;plaquette;30000;30000;0;
702;;garniture;25000;25000;0;
702;2026-01-08;vidange 167092km huile +filtre;78000;78000;0;
702;;;;;0;
702;2026-01-19;achat butee;60000;60000;0;
702;;achat disque d embrayage;45000;45000;0;
702;2026-01-21;mo mecano;25000;25000;0;
702;;;;;0;
702;2026-02-14;soudure arret d huile ;50000;50000;0;
702;; ;;;0;
702;2026-02-23;achat garniture ;25000;25000;0;
702;;achat huile de pont 7 litre ;10500;10500;0;
702;;achat arret huile avant 2*10000;20000;20000;0;
702;;regarnir les frein a dos arrierre+grais ect mo mecano;40000;40000;0;
702;; ;;;0;
702;2026-04-07;arret huile mayo;;;0;
702;;huile de pont 8 litre;12000;12000;0;
702;;une boite de graisse sur la carte;;;0;
702;;lavage de mayo ;2000;2000;0;
702;;mo mecano;5000;5000;0;
702;;;;;0;
702;2026-04-13;vindage 20  litre sur la carte;56000;;56000;
702;;2 joints de cache cloteur ;20000;;20000;
702;;2 filtres a huile ;16000;;16000;
702;;2 bidons huile de 5 l ;31000;;31000;
702;;;;;0;
702;;;;;0;
702;;;;;0;
702;;;;;0;
702;;;;;0;
702;;;;;0;
702;;;;;0;
702;;;;;0;
702;;;;;0;
702;;;;;0;
702;;;;;0;
702;;;;;0;
